tsne,umap,mds,lle,isomap
0.7135483870967742,0.6245161290322581,0.6619354838709678,0.7303225806451613,0.5387096774193548
0.6860215053763444,0.621720430107527,0.6331182795698911,0.6948387096774189,0.5017204301075254
0.679354838709677,0.6160215053763448,0.6198924731182794,0.6794623655913977,0.4822580645161296
0.6735483870967724,0.6146451612903214,0.6117419354838717,0.6678064516129029,0.46858064516128994
0.669806451612903,0.612430107526881,0.6049032258064522,0.6598279569892455,0.4572473118279578
0.6665130568356393,0.6105990783410142,0.5993855606758846,0.6521966205837177,0.4481720430107517
0.6632718894009224,0.6090783410138246,0.5942626728110602,0.6452764976958515,0.4402764976958514
0.6601612903225802,0.6079211469534052,0.590232974910393,0.6393727598566298,0.4346953405017907
0.657175627240142,0.6064802867383516,0.5871541218637988,0.6342078853046597,0.4303942652329745
0.6540997067448682,0.6052316715542526,0.584304985337244,0.6296304985337248,0.4270146627565973
0.651124144672533,0.6042130987292277,0.5818377321603139,0.6251319648093838,0.42394916911045905
0.648387096774194,0.602886683209264,0.5796526054590576,0.6210090984284539,0.4210504549214219
0.6457568238213397,0.6016448068060979,0.5777880184331784,0.6170932293512932,0.41851825593761144
0.6432073732718888,0.6006390168970811,0.5762703533026117,0.6132473118279586,0.41630721966205764
0.640790322580645,0.5993655913978493,0.5748655913978495,0.6095752688172043,0.41420967741935455
0.63842504743833,0.5980218216318784,0.5734155597722953,0.6058396584440232,0.4122960151802658
0.6362681846932314,0.5968121442125233,0.5720598777145269,0.6023360742146331,0.41058401855365767
0.6341973212601405,0.5956008300320701,0.5706583663459733,0.5990228258819087,0.4089152990001865
0.6322478777589133,0.5944346349745331,0.5693446519524621,0.5960577249575558,0.40729371816638427
0.6302795698924732,0.5931827956989251,0.5680890937019977,0.5932565284178177,0.40584946236559116
0.6283759251501192,0.5919173299818464,0.566870548806033,0.5905962854349952,0.40454126518642697
0.6265383144205025,0.5907025372944031,0.5657197500956278,0.5880938416422281,0.40325130689787086
0.62479195885928,0.5895371669004213,0.5645675549322113,0.585684899485742,0.40200794763908476
0.6230709677419352,0.5883462365591402,0.5634451612903236,0.5833182795698927,0.4008236559139793
0.621387593052109,0.5871722084367245,0.5623424317617862,0.5809607940446652,0.3996585607940452
0.6197849462365578,0.5860839996323857,0.5612535612535621,0.5786159360352903,0.39856263211102005
0.6182573818057693,0.5849940262843496,0.5601996927803379,0.5763065369516992,0.39755419013483434
0.6168202764976964,0.583859844271413,0.5591879866518354,0.5740298744636901,0.3966629588431597
0.6154304783092317,0.5827541713014461,0.5581401557285879,0.5717345198368575,0.39585317018909977
0.6140534165799525,0.5816635449184889,0.5571099549080822,0.5694651404786673,0.3950523759972254
0.6127042143600425,0.5805489073881378,0.556126430801248,0.5673322060353789,0.3942442767950056
0.6113611925708702,0.5794721407624631,0.5551759530791783,0.5652187194525892,0.39344452590420304
0.6100385256742007,0.5784175723075166,0.554218848829855,0.5631257547007082,0.39262262089586564
0.6087210626185959,0.5774052588777441,0.5533239360260221,0.5610181621035489,0.3917918134995935
0.6074439324116747,0.5764106502816169,0.5524454685099843,0.5589544290834626,0.39093394777265705
0.606165843262618,0.5754218734863896,0.5515557492976852,0.5569059381962593,0.39007652814104427
0.6049006561740017,0.5744495939063,0.5506795760106463,0.5548864314229349,0.3892002018996924
0.6036654912716041,0.5734856993600612,0.5498010535022413,0.5528866832092658,0.38834356362369904
0.6024582299421019,0.5725161290322576,0.5489164598842013,0.5509338296112481,0.3875111662531004
0.6012730133752958,0.5715790715971676,0.5480424862313135,0.5490078678206127,0.3867049567269862
0.6000981604286085,0.5706740099659052,0.5471702071859423,0.5471162564160204,0.3859113558877532
0.5989304468974387,0.569792448112028,0.5463094345014832,0.5452756046154403,0.3851384274640108
0.5977876287253624,0.5689190479438041,0.5454497715337933,0.5434692764100099,0.3844022369228667
0.5966458129683934,0.5680540892798961,0.5446138807429121,0.541662430759205,0.3836787227109802
0.5955281284089136,0.5672058594358735,0.5437637525323357,0.5398952781673685,0.3829689886239677
0.5944328727880405,0.5663889469129543,0.5429244128793531,0.5381438930500433,0.3822935752439492
0.5933550674902778,0.5655736673530078,0.542089338824068,0.5364172958133149,0.38164035689773534
0.592307987711213,0.5647558700899714,0.541270572745226,0.5347196620583695,0.3809847487382052
0.5912963791968397,0.5639594470046089,0.5404834759710349,0.5330501645819617,0.38032758393680177
0.5902846299810248,0.5631908918406078,0.53970347881088,0.5313993674889301,0.3796812144212535
