id,tipo_rel,x_tsne,y_tsne,x_umap,y_umap,x_isomap,y_isomap,x_mds,y_mds,x_lle,y_lle
1091,Ato_Substituicao,-6.3065767,-13.610756,4.878347873687744,1.0521107912063599,-0.5391396209446645,-0.036987113975747485,-0.27796454397347276,0.6829923272170012,0.004225284656823506,-0.004640704307303932
1092,Ato_Substituicao,-3.80398,-20.829922,4.650496959686279,-1.8514502048492432,-1.2469289058894302,0.5926894767205517,-0.8135345715463187,1.6675205718095245,0.057318187320968675,0.05302435279944103
1093,Ato_Substituicao,-3.5681653,-20.62722,4.883601188659668,-1.6393506526947021,-1.2476681941236185,0.5928960655712503,-0.9415684819515466,1.6136689078645765,0.0573181873209688,0.05302435279944115
1094,Ato_Substituicao,-4.8685822,-7.3863254,5.689197063446045,-0.27237483859062195,-0.7568079459960888,0.7662957680762276,-0.5298540187332751,2.3606050587646226,0.03418714473191895,0.027294955795098216
1095,Ato_Substituicao,-4.230284,-20.227615,4.825701713562012,-2.2063920497894287,-1.0267179296408961,0.5404111864496475,-0.9449819473484592,2.6330585660071795,0.057318187320967634,0.05302435279943981
1096,Ato_Substituicao,-4.2207947,-20.195864,5.014968395233154,-2.1065289974212646,-1.0701312739041984,0.549829873861992,-0.8522184306559243,2.5759720520548286,0.05731818732096769,0.0530243527994398
1097,Ato_Substituicao,-4.3751407,-20.15658,5.412868499755859,-1.9765652418136597,-0.9307057123133493,0.5175141881556712,-0.9494503332724435,2.856655863038283,0.057318187320967544,0.05302435279943974
1098,Ato_Substituicao,-4.531783,-20.285032,5.066181182861328,-2.138856887817383,-1.0700334071991975,0.5503806973084224,-0.6668971387282874,2.698667629246948,0.05731818732096753,0.05302435279943974
1099,Ato_Substituicao,-4.826084,-7.335174,5.657683849334717,0.3902089297771454,-0.7205194261646579,0.7487635118538813,-0.42025882738450226,2.5621440886759195,0.02638522084021471,0.018508195077911047
1100,Ato_Substituicao,-5.10504,-7.372498,5.655242443084717,-0.5878711938858032,-0.6121831844066669,0.44589247200663834,-0.7067555243993832,2.6681894346120614,0.042679533081786486,0.03685274197638733
